number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135,Histogram 220,Histogram 221,Histogram 222,Histogram 223,Histogram 224,Histogram 225,Histogram 226,Histogram 227,Histogram 228,Histogram 229,Histogram 230,Histogram 231,Histogram 232,Histogram 233,Histogram 234,Histogram 235,Histogram 236,Histogram 237,Histogram 238,Histogram 239,Histogram 240,Histogram 241,Histogram 242,Histogram 243,Histogram 244,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
11,CAMERA 4_OZ/good/GOOD20230722185829544247.jpg,good,0,0.046999999998661224,1.4394424354974302,2.147944537614706,1.7406201120954405,2.1133486226948186,0.572224811678486,0.5708571086184058,0.5723053873448418,0.5707916264422036,0.7714012807624248,0.74506691901465,0.7610509065945715,0.7456989796078646,42.92637884417858,104.36027804573456,75.22586515899931,101.09136276145345,0.9976805555555708,0.9943637584920689,0.9959356923527517,0.994540304553042,2060.0,1931.0,1805.0,1931.0,2265.0,2554.0,2682.0,2521.0,2245.0,2287.0,2644.0,3028.0,3236.0,3406.0,2906.0,2443.0,2561.0,3575.0,4035.0,4178.0,4216.0,3432.0,2386.0,2641.0,4232.0,6936.0,6821.0,7253.0,6437.0,12522.0,62110.0,16147.0,1423.0,590.0,391.0
12,CAMERA 4_OZ/good/GOOD20230722185843275354.jpg,good,0,0.030999999999039574,1.445553166537312,2.154775832593085,1.745812695515657,2.124081884228509,0.5726536079943739,0.5711938191176679,0.5726791685735617,0.5711350966895482,0.7725104139702326,0.7457252008218523,0.761120460296068,0.7462643047369647,44.85113369823249,104.95446210996036,74.72468554481726,101.85442061181897,0.9975760263945216,0.9943304414750842,0.995961894891855,0.9944979033090019,2016.0,1884.0,1911.0,1842.0,2186.0,2454.0,2701.0,2570.0,2224.0,2223.0,2537.0,2996.0,3333.0,3371.0,3046.0,2453.0,2553.0,3630.0,3986.0,4237.0,3990.0,3501.0,2458.0,2964.0,4079.0,6989.0,6817.0,7009.0,6315.0,12007.0,62934.0,15941.0,1378.0,585.0,439.0
13,CAMERA 4_OZ/good/GOOD20230722185857366063.jpg,good,0,0.0470000000022992,1.4313990422214171,2.140104731848827,1.7345281543269184,2.104890828912032,0.5720145300642613,0.5706085261034904,0.5721157770027495,0.5705723178882093,0.7720939857078569,0.745299018631389,0.7611801937845385,0.7460110413116426,41.92334424683614,101.48693053183189,72.89147060738304,98.11766149425284,0.9977349437145916,0.9945194156431828,0.996062156712222,0.9947013658025208,2139.0,1848.0,1831.0,1915.0,2270.0,2513.0,2651.0,2518.0,2217.0,2288.0,2646.0,2951.0,3356.0,3437.0,2948.0,2351.0,2638.0,3536.0,4038.0,4221.0,4357.0,3269.0,2308.0,2763.0,4159.0,7275.0,6753.0,6942.0,6530.0,12484.0,62153.0,15870.0,1604.0,610.0,403.0
14,CAMERA 4_OZ/good/GOOD20230722185912941807.jpg,good,0,0.0319999999992433,1.4531290721927739,2.158231021531927,1.7493270985396205,2.1265179636408034,0.5727176501872239,0.5714168181859787,0.5728507827992183,0.5713235104206065,0.7716075848604567,0.7453294296974697,0.7610979836945295,0.7459722904991533,45.057756711002945,104.68191145817904,74.41681764857066,101.52860395859214,0.9975663468198731,0.9943486164148158,0.9959809886070164,0.9945188516540695,2124.0,1968.0,1824.0,1890.0,2133.0,2484.0,2760.0,2565.0,2183.0,2129.0,2632.0,3033.0,3340.0,3243.0,3045.0,2465.0,2601.0,3457.0,4023.0,4150.0,4020.0,3474.0,2437.0,2792.0,4286.0,6900.0,6758.0,7090.0,6437.0,12198.0,63217.0,15591.0,1469.0,608.0,453.0
15,CAMERA 4_OZ/good/GOOD20230722190125279641.jpg,good,0,0.0459999999984575,1.4491912627061867,2.167323109084047,1.7676982859744463,2.1345012600280158,0.5712548632553672,0.5698163408470945,0.5712451637678498,0.56974880154384,0.770510802633783,0.7443275059640772,0.7594873117800198,0.7448261067599756,44.48870944100049,104.91205084790398,75.35977499346133,102.09082793277724,0.9975897271021037,0.9943188549367857,0.9959175969174208,0.9944716283932987,2010.0,1864.0,1869.0,1906.0,2159.0,2507.0,2482.0,2399.0,2015.0,2097.0,2517.0,3028.0,3249.0,3175.0,2887.0,2360.0,2672.0,3309.0,3951.0,4097.0,4600.0,3722.0,2530.0,2805.0,4273.0,6898.0,6618.0,7098.0,5988.0,10761.0,64839.0,16492.0,1438.0,644.0,484.0
16,CAMERA 4_OZ/good/GOOD20230722190140423514.jpg,good,0,0.0470000000022992,1.4474532512388956,2.1638777035966563,1.7672013490610095,2.1368949444839713,0.5713798032491196,0.5699917328733343,0.5714400471143661,0.5699972238800752,0.7705346638524119,0.7438649764089711,0.7591932376827204,0.7443735177725618,44.78507867477706,104.83311470041362,75.1066320711457,102.44091406791321,0.9975743131058108,0.9943246384995637,0.9959323916916487,0.9944541453200936,2065.0,1897.0,1809.0,1913.0,2153.0,2440.0,2463.0,2286.0,2165.0,2130.0,2665.0,2987.0,3059.0,3255.0,3026.0,2322.0,2560.0,3489.0,3834.0,4186.0,4483.0,3743.0,2515.0,2859.0,4082.0,6627.0,6886.0,7102.0,6268.0,10765.0,64045.0,16829.0,1677.0,736.0,485.0
17,CAMERA 4_OZ/good/GOOD20230722190154715700.jpg,good,0,0.0319999999992433,1.438663832422129,2.153705359946408,1.7581139207502519,2.122797806225085,0.5712612021287485,0.5699108347636272,0.5713946627077527,0.5698844482110009,0.7713511489430935,0.7444057518630046,0.7600286418561717,0.7454501869065259,43.40622312356398,103.50210955676583,74.8481002345982,100.70183301120285,0.9976484202296441,0.9943953175432343,0.995945397031645,0.9945469536876247,2019.0,1944.0,1865.0,1943.0,2153.0,2401.0,2458.0,2304.0,2047.0,2219.0,2648.0,3029.0,3188.0,3177.0,2866.0,2375.0,2501.0,3555.0,4052.0,4151.0,4427.0,3677.0,2419.0,2876.0,4045.0,6966.0,6739.0,6977.0,6272.0,10394.0,64667.0,16921.0,1508.0,648.0,422.0
18,CAMERA 4_OZ/good/GOOD20230722190208672172.jpg,good,0,0.0459999999984575,1.447254528278242,2.163055893674463,1.763849876172576,2.1342664571930836,0.5710832369246317,0.5696630620383637,0.5711678732817302,0.5696136267478452,0.7700034049408865,0.7434903916962778,0.7587835235800111,0.7439706909653853,44.837420999508076,104.72881658560499,74.92428392203261,102.19699794796345,0.9975711529676826,0.9943295241827786,0.9959417225743021,0.9944666079084098,2078.0,1835.0,1842.0,1893.0,2091.0,2434.0,2498.0,2387.0,2118.0,2146.0,2458.0,2975.0,3226.0,3333.0,3006.0,2407.0,2654.0,3394.0,3864.0,4119.0,4440.0,3777.0,2571.0,2824.0,4136.0,6866.0,6587.0,7032.0,6339.0,11110.0,63893.0,16439.0,1683.0,813.0,515.0
19,CAMERA 4_OZ/good/GOOD20230722190224048817.jpg,good,0,0.03200000000288128,1.4422432890288295,2.1615875606686,1.7637537473925966,2.131878479750477,0.5715848730145787,0.5702178924087388,0.5715737775271147,0.5701487952747016,0.7710502049496372,0.74428077634364,0.7599119938531032,0.7448870651217285,43.76239086528919,103.95907337674532,75.34991609095759,101.49752437918225,0.9976302709947601,0.9943733022756935,0.9959201913011848,0.9945065315523006,2085.0,1893.0,1799.0,1867.0,2148.0,2485.0,2508.0,2335.0,2092.0,2092.0,2555.0,3011.0,3292.0,3255.0,2992.0,2362.0,2438.0,3316.0,3974.0,4204.0,4329.0,3797.0,2601.0,2904.0,4194.0,6555.0,6970.0,6882.0,6288.0,10419.0,64817.0,16810.0,1540.0,638.0,440.0
20,CAMERA 4_OZ/good/GOOD20230722190239235133.jpg,good,0,0.046999999998661224,1.4562247524116856,2.168590881335067,1.7715230709066603,2.1412917906253552,0.5714371144024474,0.5700738403010371,0.5715526029456648,0.5700534141048929,0.7709371383036744,0.7444971894968395,0.7597427846562747,0.744998939031103,44.70743337897183,104.87719485623046,75.56672477839352,102.75114812883828,0.9975788978732555,0.9943231405203729,0.9959081136259644,0.9944382205292809,2148.0,1864.0,1729.0,1873.0,2181.0,2515.0,2580.0,2321.0,2042.0,2013.0,2531.0,2997.0,3267.0,3300.0,2887.0,2384.0,2606.0,3421.0,3907.0,4187.0,4387.0,3605.0,2678.0,2832.0,3961.0,6721.0,6719.0,6933.0,6178.0,10868.0,65499.0,16044.0,1515.0,658.0,468.0
21,CAMERA 4_OZ/good/GOOD20230722190254024870.jpg,good,0,0.0459999999984575,1.4416349035714653,2.1570080901000876,1.757006810479126,2.128952412477825,0.5711214743484676,0.569719828105008,0.5711837646305304,0.5696480271309042,0.7712712612553061,0.7441812026617304,0.759525617873929,0.7446555275096213,44.42812500003058,104.37667918681319,74.66136030367979,101.80758396855502,0.9975936606831991,0.9943493795950922,0.9959565285252815,0.9944884622137018,2132.0,1984.0,1736.0,1954.0,2171.0,2334.0,2461.0,2337.0,2111.0,2167.0,2594.0,2979.0,3305.0,3169.0,2993.0,2403.0,2542.0,3228.0,3981.0,4337.0,4308.0,3856.0,2463.0,2826.0,4124.0,6758.0,6854.0,6870.0,6469.0,10721.0,63954.0,17195.0,1543.0,679.0,475.0
22,CAMERA 4_OZ/good/GOOD20230722190308586366.jpg,good,0,0.03200000000288128,1.4583089001833873,2.171277254047107,1.7587949687168956,2.13850595282356,0.5712835752286254,0.5699099340603121,0.5713396471747022,0.5698918130235685,0.7706707925133522,0.7441434717654046,0.7592336165266022,0.7446405486133302,44.683126466019374,105.53918476134261,75.2654392596244,102.01341474256397,0.9975860671272908,0.9943011056352722,0.9959342914201548,0.9944914898128336,2221.0,2130.0,1901.0,2030.0,2421.0,2537.0,2720.0,2487.0,2146.0,2321.0,2695.0,3215.0,3397.0,3399.0,2976.0,2409.0,2725.0,3517.0,4108.0,4326.0,3946.0,3172.0,2414.0,2863.0,3975.0,6660.0,6749.0,6866.0,6944.0,12444.0,62211.0,15585.0,1449.0,585.0,386.0
23,CAMERA 4_OZ/good/GOOD20230722190335736538.jpg,good,0,0.046999999998661224,1.456427547564154,2.171458247899,1.7639158628774743,2.1402849104130794,0.5715414902638319,0.570137252773067,0.5715735333791566,0.5701000787044234,0.770763416663757,0.743745612113699,0.7590336975568652,0.7445257764979939,44.64034238991857,106.06550672983828,76.09127672052172,103.02490132985862,0.997588090312703,0.994272003905995,0.9958891915659891,0.9944362097481405,2197.0,2043.0,1991.0,2019.0,2377.0,2693.0,2863.0,2526.0,2248.0,2280.0,2646.0,3230.0,3324.0,3383.0,2840.0,2362.0,2801.0,3593.0,4112.0,4212.0,3966.0,3220.0,2347.0,2785.0,3943.0,6775.0,6725.0,6681.0,7115.0,12391.0,62138.0,15422.0,1507.0,725.0,411.0
24,CAMERA 4_OZ/good/GOOD20230722190350169926.jpg,good,0,0.030999999999039574,1.4543067500661222,2.1716742991186164,1.7599460701246161,2.1355733632499176,0.5711467357962727,0.5697315358246295,0.5712488496616666,0.5696568774769855,0.7708837647312407,0.7435471135297584,0.7592212890730693,0.7445815249641451,44.387752475923016,105.03517150802392,74.72693805394233,101.13410013855957,0.9976019457987857,0.9943281423689523,0.9959632529679812,0.9945387986767272,2140.0,1969.0,1992.0,2007.0,2411.0,2804.0,2670.0,2464.0,2225.0,2313.0,2716.0,3103.0,3283.0,3356.0,2977.0,2480.0,2787.0,3585.0,4169.0,4161.0,4047.0,3411.0,2434.0,2904.0,3855.0,6700.0,6854.0,6447.0,6944.0,13091.0,61394.0,15686.0,1509.0,617.0,434.0
25,CAMERA 4_OZ/good/GOOD20230722190404609879.jpg,good,0,0.03200000000288128,1.4377223416741118,2.154362481769129,1.7497816736178187,2.117186996815624,0.5708116949360013,0.5694485169422331,0.5709585683216347,0.5693768188681719,0.7710809757378123,0.7441484937617064,0.7596993139939511,0.7446371512960124,40.39585043656673,100.26659008402741,72.21219532062588,95.98566153664567,0.9978173455668052,0.9945849809064288,0.9960986230183282,0.994816177657044,2198.0,2103.0,2007.0,1988.0,2392.0,2689.0,2592.0,2427.0,2250.0,2309.0,2770.0,3218.0,3480.0,3417.0,2733.0,2418.0,2816.0,3666.0,4094.0,4195.0,4021.0,3292.0,2376.0,2872.0,4017.0,6847.0,6862.0,6748.0,6821.0,12712.0,61481.0,15715.0,1480.0,592.0,407.0
26,CAMERA 4_OZ/good/GOOD20230722190419002450.jpg,good,0,0.046999999998661224,1.4590809877518007,2.1713636745349145,1.7583241006251251,2.1365639377097514,0.5711200754166351,0.5697367971791402,0.5712239038808314,0.5696413250091488,0.7705925861183401,0.7439496827908589,0.7588300017528395,0.7442314647810163,44.898806033390194,104.9274059749616,74.60304353490963,101.49355311317883,0.9975743526284075,0.9943339950847906,0.9959699700203872,0.9945194206846373,2238.0,2097.0,1969.0,2031.0,2429.0,2696.0,2614.0,2428.0,2141.0,2331.0,2819.0,3241.0,3392.0,3347.0,2979.0,2491.0,2620.0,3517.0,4321.0,4255.0,3912.0,3318.0,2333.0,2786.0,4051.0,6632.0,6788.0,6559.0,7252.0,12883.0,61621.0,15353.0,1528.0,619.0,434.0
27,CAMERA 4_OZ/good/GOOD20230722190433841664.jpg,good,0,0.030999999999039574,1.4505301993754665,2.162312351363877,1.7497547901454682,2.1266761294393097,0.5710550783646121,0.5696507490183214,0.5710531718916475,0.5695545377637665,0.7715237030960352,0.7444663038633397,0.7600233024638279,0.7449621814363913,44.705778440218054,104.36008971429399,73.80202929481717,100.75596403281473,0.9975849656276368,0.9943650600868158,0.9960135456402047,0.9945596654355714,2157.0,2057.0,1947.0,2034.0,2329.0,2730.0,2657.0,2474.0,2230.0,2353.0,2811.0,3139.0,3464.0,3526.0,2827.0,2380.0,2822.0,3638.0,4062.0,4210.0,3999.0,3326.0,2261.0,2795.0,3879.0,7021.0,6774.0,6682.0,6743.0,13000.0,61951.0,15300.0,1463.0,596.0,386.0
28,CAMERA 4_OZ/good/GOOD20230722190448828132.jpg,good,0,0.0470000000022992,1.4579310007828243,2.1712748081842195,1.7621114116261736,2.1342949922598478,0.5712117510643712,0.569820780751606,0.5712706097638983,0.5697860739433139,0.7702463828774059,0.7434924679598051,0.7588562857466045,0.7444544491690628,44.38283001045525,104.02689552338303,73.9906095216161,100.498625832758,0.997602319252232,0.9943828315326307,0.9960032026143962,0.9945733484672172,2275.0,2130.0,2017.0,2029.0,2341.0,2595.0,2705.0,2446.0,2205.0,2340.0,2752.0,3137.0,3482.0,3439.0,2834.0,2346.0,2623.0,3671.0,4279.0,4238.0,3972.0,3417.0,2468.0,2732.0,4011.0,6537.0,6827.0,6714.0,6796.0,12933.0,61844.0,15363.0,1561.0,630.0,416.0
29,CAMERA 4_OZ/good/GOOD20230722190504606246.jpg,good,0,0.046999999998661224,1.4598196833473078,2.1728409757045926,1.7591526003644478,2.1394419030127394,0.5710281511710745,0.5696755263433356,0.5711238335941201,0.5696008581329757,0.7701644139282421,0.7436615969216553,0.7590045960897056,0.7440133914024689,45.213914679468104,106.12557549119487,75.28282146113703,102.6840295754168,0.9975575272139737,0.9942697523787539,0.9959335741824452,0.9944555785587904,2249.0,2082.0,1989.0,2145.0,2364.0,2650.0,2540.0,2472.0,2249.0,2247.0,2769.0,3122.0,3371.0,3520.0,3079.0,2346.0,2649.0,3541.0,4281.0,4340.0,4023.0,3168.0,2396.0,2759.0,3996.0,6649.0,6839.0,6663.0,6874.0,12950.0,61554.0,15709.0,1503.0,639.0,408.0
30,CAMERA 4_OZ/good/GOOD20230722190518413141.jpg,good,0,0.030999999999039574,1.4483116692738012,2.165879234706771,1.763769225755469,2.1394264125479356,0.5713849026997394,0.5699108832877257,0.5713963976392383,0.569864324047849,0.7716206079738722,0.7444432423062736,0.7595815216891099,0.7451034484397299,44.69985910219366,105.89601250981815,76.62783498433768,104.62154348626233,0.9975880296110395,0.9942886438076879,0.9958656107112078,0.9943573805464688,2083.0,1909.0,1794.0,1875.0,2141.0,2415.0,2613.0,2321.0,2169.0,2179.0,2607.0,3000.0,3187.0,3343.0,3083.0,2322.0,2577.0,3366.0,4038.0,4211.0,4094.0,3486.0,2411.0,2794.0,3990.0,7291.0,6663.0,6743.0,6571.0,11425.0,64081.0,17180.0,1586.0,659.0,477.0
31,CAMERA 4_OZ/good/GOOD20230722190531952491.jpg,good,0,0.0470000000022992,1.4461379332821567,2.165729221784547,1.7615835179869614,2.140615101899718,0.5719628172819248,0.5705411537183068,0.5720164977439843,0.5704747094811139,0.77227971874233,0.7446890085913389,0.760401604869388,0.745659373242013,44.39894774566519,104.88160556226475,76.00861004299226,103.7934754162697,0.9976036223833852,0.9943418291555514,0.995897913114847,0.9944005317872981,2165.0,1966.0,1844.0,1838.0,2152.0,2454.0,2479.0,2357.0,2150.0,2146.0,2438.0,2950.0,3136.0,3279.0,3036.0,2387.0,2582.0,3271.0,3951.0,4140.0,4316.0,3516.0,2414.0,2843.0,4051.0,7387.0,6428.0,6702.0,6387.0,11522.0,64578.0,17035.0,1534.0,692.0,470.0
32,CAMERA 4_OZ/good/GOOD20230722190559072917.jpg,good,0,0.030999999999039574,1.440466998958444,2.1624819311890753,1.7594572797179506,2.1351453372487508,0.571909951376691,0.5704219864003561,0.5718998338493446,0.5704006122371373,0.7719763933312318,0.7449129589699324,0.7603858306577918,0.7454795432036104,43.904112099326184,105.87766446190196,77.32850870044767,104.5034352144363,0.9976296681342317,0.9942864952982486,0.9958255132470827,0.9943606531983754,2119.0,1906.0,1812.0,1870.0,2126.0,2522.0,2626.0,2349.0,2093.0,2187.0,2630.0,2966.0,2995.0,3310.0,3092.0,2421.0,2592.0,3294.0,3959.0,4263.0,3985.0,3604.0,2497.0,2820.0,4078.0,7027.0,6710.0,6893.0,6625.0,10910.0,64619.0,17006.0,1518.0,656.0,418.0
33,CAMERA 4_OZ/good/GOOD20230722190613715714.jpg,good,0,0.046999999998661224,1.4517958365920054,2.171451725598,1.769923911626157,2.1495335331884804,0.5719249424117334,0.5705968353103241,0.5719672695204514,0.5705033941123578,0.7712480506597216,0.7443317613805291,0.759514795140688,0.7452608407297021,44.584078544465534,105.50927022794176,76.62777225623473,104.86348253372933,0.9975934619935289,0.994307566929239,0.9958642079231744,0.9943424084480964,2157.0,1948.0,1815.0,1826.0,2134.0,2466.0,2472.0,2438.0,2087.0,2160.0,2502.0,2842.0,3133.0,3340.0,3053.0,2395.0,2480.0,3292.0,3943.0,4332.0,4157.0,3483.0,2334.0,2919.0,4215.0,6982.0,6862.0,6511.0,6381.0,11352.0,64871.0,16772.0,1522.0,728.0,498.0
